Original,Traduzido
Dyspeptic signs and symptoms,Sinais e sintomas dispéticos
Dysphagia,Disfagia
Dysphasia,Disfasia
Dysphemia,Disfemia
Dysphonia,Disfonia
Dysphoria,Disforia
Dysplasia,Displasia
Dyspnoea,Dispneia
Dyspnoea at rest,Dispneia em repouso
Dyspnoea exacerbated,Dyspneea exacerbada
Dyspnoea exertional,Dyspneea Exercional
Dyspnoea paroxysmal nocturnal,Dispnea paroxística noturna
Dyssomnia,DISSOMNIA
Dysstasia,Disstasia
Dysthymic disorder,Transtorno distímico
Dystonia,Distonia
Dystonic reaction,Reação distônica
Dystrophic calcification,Calcificação distrófica
Dysuria,Disúria
ECG signs of myocardial ischaemia,Sinais de ECG de isquemia miocárdica
Ear and labyrinth disorders,Distúrbios da orelha e labirinto
Ear buzzing,Zumbido da orelha
Ear canal erythema,ERER ERYTHEMA
Ear congestion,Congestão da orelha
Ear discomfort,Desconforto da orelha
Ear disorder,Transtorno da orelha
Ear disorders NEC,Distúrbios da orelha NEC
Ear feels clogged,A orelha se sente entupida
Ear haemorrhage,Hemorragia da orelha
Ear infection,Infecção por ouvido
Ear malformation,Malformação da orelha
Ear pain,Dor na orelha
Ear pruritus,Prurido da orelha
Ear roaring,Ouvido rugindo
Early menarche,Menaria precoce
Early satiety,Saciedade precoce
Eating disorder,Transtorno alimentar
Ecchymosis,ECCIMOSE
Echoacousia,Ecoacousia
Echocardiogram abnormal,Ecocardiograma anormal
Echolalia,Echolalia
Eclampsia,Eclampsia
Ectopic ACTH syndrome,Síndrome do ACTH ectópico
Ectopic ossification,Ossificação ectópica
Ectopic pregnancy,Gravidez ectópica
Ectromelia,Ectromelia
Ectropion,Ectropion
Ectropion of cervix,Ectopion do colo do útero
Eczema,Eczema
Eczema allergic atopic,Eczema alérgico atópico
Eczema exacerbated,Eczema exacerbado
Eczema eyelids,Pálpebras eczema
Eczema herpeticum,Eczema herpeticum
Eczema infected,Eczema infectado
Edema cerebral,Edema cerebral
Edema hands,Mãos de edema
Edema of lower extremities,Edema de extremidades inferiores
Edema transient,Edema transitório
Effusion,Efusão
Effusion of knee,Efusão do joelho
Ejaculation decreased,A ejaculação diminuiu
Ejaculation delayed,Ejaculação atrasada
Ejaculation disorder,Transtorno da ejaculação
Ejaculation failure,Falha de ejaculação
Ejaculation inhibited,Ejaculação inibida
Ejection fraction decreased,A fração de ejeção diminuiu
Elastosis perforans,Elastose Perforans
Electric shock,Choque elétrico
Electrocardiogram PR prolongation,Prolongamento do PR do eletrocardiograma
Electrocardiogram PR shortened,O eletrocardiograma PR encurtado
Electrocardiogram QRS complex,EXPRESSÃO ELETROCARDIOGRAMO QRS
Electrocardiogram QRS complex abnormal,Complexo de Eletrocardiograma QRS anormal
Electrocardiogram QRS complex prolonged,Eletrocardiograma QRS complexo prolongou
Electrocardiogram QT corrected interval,Intervalo corrigido de eletrocardiograma QT
Electrocardiogram QT corrected interval prolonged,Eletrocardiograma Qt de intervalo corrigido prolongado
Electrocardiogram QT interval,Intervalo QT do eletrocardiograma
Electrocardiogram QT interval abnormal,Eletrocardiograma QT de intervalo anormal
Electrocardiogram QT prolonged,Eletrocardiograma QT prolongado
Electrocardiogram QT shortened,Eletrocardiograma QT encurtado
Electrocardiogram ST segment,Segmento ST de eletrocardiograma
Electrocardiogram ST segment abnormal,Eletrocardiograma ST segmento anormal
Electrocardiogram ST segment depression,Depressão do segmento de eletrocardiograma
Electrocardiogram ST segment elevation,Elevação do segmento de eletrocardiograma ST
Electrocardiogram ST-T change,Alteração do eletrocardiograma ST-T
Electrocardiogram ST-T segment abnormal,Segmento de Eletrocardiograma St-T anormal
Electrocardiogram T wave abnormal,Eletrocardiograma T onda t anormal
Electrocardiogram T wave amplitude decreased,A amplitude da onda T de eletrocardiograma diminuiu
Electrocardiogram T wave inversion,Inversão de onda T de eletrocardiograma
Electrocardiogram U wave present,Eletrocardiograma U onda presente
Electrocardiogram U-wave abnormality,Anormalidade da onda U do eletrocardiograma
Electrocardiogram abnormal,Eletrocardiograma anormal
Electrocardiogram abnormal specific,Específico anormal do eletrocardiograma
Electrocardiogram change,Alteração do eletrocardiograma
Electrocardiogram poor R-wave progression,Eletrocardiograma Pobre a onda R Progressão
Electrocardiogram repolarisation abnormality,Anormalidade da repolarização do eletrocardiograma
Electroencephalogram abnormal,Eletroencefalograma anormal
Electrolyte abnormality,Anormalidade eletrolítica
Electrolyte depletion,Depleção de eletrólitos
Electrolyte disturbance,Perturbação eletrolítica
Electrolyte imbalance,Desequilíbrio eletrolítico
Electrolytes NOS decreased,Os eletrólitos NOS diminuíram
Electroretinogram abnormal,Electrorretinograma anormal
Elevated liver enzyme levels,Níveis elevados de enzimas hepáticas
Elevated mood,Humor elevado
Embolic stroke,Derrame embólico
Embolism,Embolia
Embolism arterial,Embolia arterial
Embolism arterial (limb),Embolia arterial (membro)
Embolism limb,Membro da embolia
Embolism venous,Embolia venosa
Embolus,Embolus
Embolus leg,Perna de embolia
Emotional disorder,Transtorno emocional
Emotional distress,Sofrimento emocional
Emotional disturbance NOS,Perturbação emocional nos
Emotional poverty,Pobreza emocional
Emotional problems,Problemas emocionais
Emphysema,Enfisema
Emprosthotonus,Emprosthotonus
Enanthema,Enantema
Encephalitis,Encefalite
Encephalitis cytomegalovirus,Encefalite citomegalovírus
Encephalitis viral,Encefalite viral
Encephalocele,Encefalocele
Encephalopathy,Encefalopatia
Encephalopathy acute,Encefalopatia aguda
End stage AIDS,Auxílios finais
End stage liver disease,Doença do fígado do estágio final
Endocardial fibrosis,Fibrose endocárdica
Endocarditis,Endocardite
Endocrine disorder,Transtorno endócrino
Endocrine neoplasms malignant and unspecified,Neoplasias endócrinas malignas e não especificadas
Endometrial adenocarcinoma,Adenocarcinoma endometrial
Endometrial cancer,Câncer endometrial
Endometrial disorder,Transtorno endometrial
Endometrial hyperplasia,Hiperplasia endometrial
Endometrial hypertrophy,Hipertrofia endometrial
Endometrial neoplasm,Neoplasia endometrial
Endometrial neoplasm malignant,Neoplasia endometrial maligna
Endometrial thickening,Espessamento endometrial
Endometriosis,Endometriose
Endometritis,Endometrite
Endophthalmitis,Endoftalmite
Endotracheal intubation complication,Complicação de Intubação endotraqueal
Endotracheal tube obstruction,Obstrução do tubo endotraqueal
Energy increased,A energia aumentou
Enlarged clitoris,Clitoris aumentado
Enlargement abdomen,Aumentando o abdômen
Enophthalmos,Enophthalmos
Enteritis,Enterite
Enterobacter sepsis,Sepse Enterobacter
Enterobiasis,Enterobíase
Enterococcal bacteraemia,Bacteremia enterocócica
Enterococcal infection,Infecção enterocócica
Enterocolitis,Enterocolite
Enterocolitis haemorrhagic,Enterocolite hemorrágica
Enterocolitis infectious,Enterocolite infecciosa
Enterocutaneous fistula,Fístula enterocutânea
Enuresis,Enurese
Enzyme abnormality,Anormalidade enzimática
Enzyme induction,Indução enzimática
Eosinopenia,Eosinopenia
Eosinophil count abnormal,Contagem de eosinófilos anormais
Eosinophil count increased,A contagem de eosinófilos aumentou
Eosinophilia,Eosinofilia
Eosinophilic cystitis,Cistite eosinofílica
Eosinophilic myocarditis,Miocardite eosinofílica
Eosinophilic pneumonia,Pneumonia eosinofílica
Eosinophilic pustular folliculitis,Foliculite pustular eosinofílica
Eosinophiluria,Eosinofilúria
Ephelides,Efelídeos
Epicondylitis,Epicondilite
Epidermal and dermal conditions,Condições epidérmicas e dérmicas
Epidermal growth factor receptor decreased,O receptor do fator de crescimento epidérmico diminuiu
Epidermal naevus,Naevus epidérmico
Epidermal necrosis,Necrose epidérmica
Epidermolysis,Epidermólise
Epidermolysis bullosa,Epidermólise Bolosa
Epididymal tenderness,Sensibilidade epididimal
Epididymitis,Epididimite
Epididymo-orchitis,Epididymo-orquite
Epidural haemorrhage,Hemorragia peridural
Epidural lipomatosis,Lipomatose epidural
Epigastric discomfort,Desconforto epigástrico
Epigastric distress,Sofrimento epigástrico
Epigastric fullness,Plenitude epigástrica
Epigastric pain,Dor epigástrica
Epigastric pain not food-related,Dor epigástrica não relacionada a alimentos
Epiglottitis,Epiglotite
Epilepsy,Epilepsia
Epilepsy aggravated,Epilepsia agravada
Epiphyses premature fusion,Epifises fusão prematura
Epiphysiolysis,Epifisiolise
Episcleritis,Episclerite
Epistaxis,Epistaxia
Epithelial cells urine,Células epiteliais urina
Epstein-Barr virus infection,Infecção pelo vírus Epstein-Barr
Equilibrium loss,Perda de equilíbrio
Erectile dysfunction,Disfunção erétil
Erection increased,A ereção aumentou
Erection prolonged,Ereção prolongada
Ergot poisoning,Envenenamento por ergot
Erosive oesophagitis,Esofagite erosiva
Eructation,Eructação
Eruption,Erupção
Eruption lichenoid,Erupção liquenóide
Eruptive xanthoma,Xanthoma eruptivo
Erysipelas,Erisipela
Erythema,Eritema
Erythema annulare,ERYTHEMA ANNULARE
Erythema annulare centrifugum,ERYTHEMA ANNULARE CENTRIFUGUM
Erythema facial,ERYTHEMA FACIAL
Erythema infectiosum,Eritema infectioso
Erythema multiforme,Eritema multiforme
Erythema multiforme minor,Eritema multiforme menor
Erythema nodosum,Eritema nodoso
Erythema of eyelid,Eritema da pálpebra
Erythema periorbital,Eritema periorbital
Erythrasma,Eritrasma
Erythrocytosis,Eritrocitose
Erythrodermic psoriasis,Psoríase eritrodérmica
Erythroleukaemia,Eritroleukemia
Erythromelalgia,Eritomelalgia
Erythropenia,Eritropenia
Erythropoiesis abnormal,Eritropoiese anormal
Erythropsia,Eritropsia
Erythrosis,Erittrose
Eschar,Escara
Escherichia bacteraemia,Bacteremia de Escherichia
Escherichia sepsis,Sepse de Escherichia
Esophageal erosions,Erosões de esôfago
Essential hypertension,Hipertensão essencial
Essential thrombocythaemia,Trombocitemia essencial
Essential tremor,Tremor essencial
Euphoric mood,Humor eufórico
Eustachian tube disorder,Transtorno do tubo Eustáquiano
Euthyroid goiter,Bócio de eutireóide
Evans syndrome,Síndrome de Evans
Exacerbation of acne,Exacerbação da acne
Exacerbation of asthma,Exacerbação da asma
Exacerbation of hot flushes,Exacerbação de afastamento
Excessive daytime sleepiness,Sonolência diurna excessiva
Excessive flatulence,Flatulência excessiva
Excessive granulation tissue,Tecido de granulação excessiva
Excessive thirst,Sede excessiva
Excitability,Excitabilidade
Excitation cerebral,Excitação cerebral
Excitement,Excitação
Excoriation,Escoriação
Exencephaly,Exencefalia
Exfoliative conditions,Condições esfoliativas
Exfoliative rash,Erupção cutânea esfoliativa
Exhaustion,Exaustão
Exomphalos,Exomphalos
Exophthalmos,EXOFTALALMOS
Exostosis,Exostose
Explosive personality disorder,Transtorno de personalidade explosiva
Exposure to poisonous plant,Exposição à planta venenosa
Exposure to toxic agent,Exposição ao agente tóxico
Expressive language disorder,Transtorno de linguagem expressiva
Extensor plantar response,Resposta plantar extensor
External ear disorder,Transtorno externo da orelha
External ophthalmoplegia,Oftalmoplegia externa
Extradural abscess,Abscesso extrradural
"Extranodal NK/T-cell lymphoma, nasal type","Linfoma extranodal de células T extranodais, tipo nasal"
Extrapulmonary pneumocystosis,Pneumocistose extrapulmonar
Extrapyramidal disorder,Transtorno extrapiramidal
Extrapyramidal symptoms,Sintomas extrapiramidais
Extraskeletal ossification,Ossificação extra -esquelética
Extrasystoles,Extrasystoles
Extravasation,Extravasamento
Extremity contracture,Contratura da extremidade
Extremity necrosis,Necrose da extremidade
Eye allergy,Alergia ocular
Eye bleeding,Olho sangrando
Eye burns,Olhos queimam
Eye discharge,Descarga ocular
Eye disorder,Transtorno ocular
Eye haemorrhage,Hemorragia ocular
Eye infection,Infecção ocular
Eye infection viral,Infecção ocular viral
Eye injury,Lesão ocular
Eye irritation,Irritação nos olhos
Eye movement disorder,Transtorno do movimento ocular
Eye naevus,Olho Naevus
Eye oedema,Edema ocular
Eye pain,Dor nos olhos
Eye penetration,Penetração ocular
Eye pruritus,Prurido dos olhos
Eye redness,Vermelhidão ocular
Eye rolling,Olhos rolando
Eye swelling,Inchaço ocular
Eye ulcer,Úlcera ocular
Eyebrow loss of,Perda de sobrancelha de
Eyelash darkening,Cinelas escurecendo
Eyelash discolouration,Descoloração dos cílios
Eyelash hyperpigmentation,Hiperpigmentação de cílios
Eyelash thickening,Espessamento dos cílios
Eyelid bleeding,Sangramento da pálpebra
Eyelid disorder,Transtorno da pálpebra
Eyelid exfoliation,Esfoliação da pálpebra
Eyelid function disorder,Transtorno da função da pálpebra
Eyelid infection,Infecção pelas pálpebras
Eyelid irritation,Irritação pálpebra
Eyelid margin crusting,Margem de pálpebra crosta
Eyelid oedema,Edema da pálpebra
Eyelid pain,Dor da pálpebra
Eyelid ptosis,Ptose pálpebra
Eyelid retraction,Retracração da pálpebra
Eyelids pruritus,Purito das pálpebras
Face injury,Lesão face
Face oedema,Edema de rosto
Facial bones fracture,Fratura dos ossos faciais
Facial neuralgia,Neuralgia facial
Facial pain,Dor facial
Facial paralysis,Paralisia facial
Facial paresis,Paresia facial
Facial paresthesia,Parestesia facial
Facial rash,Erupção cutânea facial
Facial spasm,Espasmo facial
Facial wasting,Desperdício facial
Factor I deficiency,Deficiência de fator I.
Factor II deficiency,Deficiência do fator II
Factor VIII deficiency,Deficiência do fator VIII
Factor XI deficiency,Deficiência do fator XI
Faecal incontinence,Incontinência fecal
Faecal occult blood positive,Sangue oculto fecal positivo
Faecalith,Faecalith
Faecaloma,Feecaloma
Faeces discoloured,Felas descoloridas
Faeces hard,Felas duras
Failed induction of labour,Indução fracassada do trabalho
Failure to thrive,Falha em prosperar
Fall,Cair
Fallopian tube cyst,Cisto de tubo de falópio
Fallot's tetralogy,Tetralogia de Fallot
Familial tremor,Tremor familiar
Family stress,Estresse familiar
Fanconi syndrome,Síndrome de Fanconi
Fanconi syndrome acquired,Síndrome de Fanconi adquirida
Fasciculation,Fasciculação
Fasciitis,Fascite
Fasting,Jejum
Fasting blood glucose increased,A glicose no sangue em jejum aumentou
Fasting hyperglycaemia,Hiperglicemia em jejum
Fat atrophy,Atrofia de gordura
Fat embolism,Embolia gorda
Fat intolerance,Intolerância a gordura
Fat necrosis,Necrose gorda
Fat redistribution,Redistribuição de gordura
Fat tissue increased,O tecido adiposo aumentou
Fatal outcomes,Resultados fatais
Fatigability,Fatigabilidade
Fatigue,Fadiga
Fatigue aggravated,Fadiga agravada
Fear,Temer
Febrile bone marrow aplasia,Aplasia da medula óssea febril
Febrile convulsion,Convulsão febril
Febrile disorders,Distúrbios febris
Febrile neutropenia,Neutropenia febril
Feces bloodstained,Feces Blood Staied
Feeling abnormal,Sentindo -se anormal
Feeling cold,Sentindo frio
Feeling drunk,Sentindo -se bêbado
Feeling hot,Sentindo -se quente
Feeling hot and cold,Sentindo -se quente e frio
Feeling jittery,Sentindo -se nervoso
Feeling of body temperature change,Sentimento de mudança de temperatura corporal
Feeling of despair,Sentimento de desespero
